ZUSTAND News Studio 5.16.3 – Diagnose der Beitragsfelder

TFrame       visible=False manager=canvas text='' textvariable=''
TLabel       visible=False manager=pack  text='Beitrag bearbeiten' textvariable=''
TLabel       visible=False manager=pack  text='Vereinfachte Eingabe: Untertitel, Quellen-ID, Quellentitel und Redaktion sind nicht mehr erforderlich.' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='ID' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR5'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Status' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR6'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Titel' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR7'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Kurzfassung' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR8'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Planetare Grenze' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR9'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Schlagwörter' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR10'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Bild-ID' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR11'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Bildstil' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR0'
TLabel       visible=False manager=pack  text='Automatisch wählt Natur, Wissenschaft oder Symbolisch.' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='' textvariable=''
TButton      visible=False manager=pack  text='Bildprompt vorbereiten …' textvariable=''
TButton      visible=False manager=pack  text='Bild übernehmen …' textvariable=''
TButton      visible=False manager=pack  text='Bild anzeigen' textvariable=''
TLabel       visible=False manager=pack  text='' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Quellen-URL' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR12'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Eine vollständige Quellen-URL genügt. Quellen-ID und Quellentitel werden nicht mehr manuell gepflegt.' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Veröffentlichungsdatum' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR13'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Autor/in' textvariable=''
TEntry       visible=False manager=pack  text='' textvariable='PY_VAR14'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Intervieweignung' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR15'
TLabel       visible=False manager=pack  text='Artikeltext' textvariable=''
Text         visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Notizen' textvariable=''
Text         visible=False manager=pack  text='' textvariable=''
TLabelframe  visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Noch kein Kontakt mit diesem Beitrag verknüpft.' textvariable=''
TButton      visible=False manager=pack  text='Kontakte öffnen' textvariable=''
TLabelframe  visible=False manager=pack  text='' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Beitragstyp' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR51'
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Bildmodus' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR52'
TLabel       visible=False manager=pack  text='Bei „Grundlage / Natur verstehen“ wird automatisch eine skizzenhafte Schwarz-Weiß-Prozessdarstellung gesetzt. Der bisherige Bildstil wird dann automatisch auf „Schwarz-Weiß-Skizze“ gesetzt und im Studio deaktiviert.' textvariable=''
TLabelframe  visible=False manager=pack  text='' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Zugehörige Grundlage' textvariable=''
TCombobox    visible=False manager=pack  text='' textvariable='PY_VAR53'
TLabel       visible=False manager=pack  text='Optional: Diese News mit einer passenden Grundlage verknüpfen. Mehrere News dürfen dieselbe Grundlage vorbereiten.' textvariable=''
TLabelframe  visible=False manager=pack  text='' textvariable=''
TLabel       visible=False manager=pack  text='Beim Löschen eines Grundlagenbeitrags entfernt das Studio automatisch alle explainerId-Verknüpfungen in den betroffenen News.' textvariable=''
TFrame       visible=False manager=pack  text='' textvariable=''
TButton      visible=False manager=pack  text='Beitrag löschen' textvariable=''
