ZUSTAND News Studio 5.17 – Formularzeilen-Diagnose

TFrame       visible=False manager=canvas text=''
TLabel       visible=False manager=pack  text='Beitrag bearbeiten'
TLabel       visible=False manager=pack  text='Vereinfachte Eingabe: Untertitel, Quellen-ID, Quellentitel und Redaktion sind nicht mehr erforderlich.'
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='ID'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Status'
TCombobox    visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Titel'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Kurzfassung'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Planetare Grenze'
TCombobox    visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Schlagwörter'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Bild-ID'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Bildstil'
TCombobox    visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Automatisch wählt Natur, Wissenschaft oder Symbolisch.'
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text=''
TButton      visible=False manager=pack  text='Bildprompt vorbereiten …'
TButton      visible=False manager=pack  text='Bild übernehmen …'
TButton      visible=False manager=pack  text='Bild anzeigen'
TLabel       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Quellen-URL'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Eine vollständige Quellen-URL genügt. Quellen-ID und Quellentitel werden nicht mehr manuell gepflegt.'
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Veröffentlichungsdatum'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Autor/in'
TEntry       visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Intervieweignung'
TCombobox    visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Artikeltext'
Text         visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Notizen'
Text         visible=False manager=pack  text=''
TLabelframe  visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Noch kein Kontakt mit diesem Beitrag verknüpft.'
TButton      visible=False manager=pack  text='Kontakte öffnen'
TLabelframe  visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Beitragstyp'
TCombobox    visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Bildmodus'
TCombobox    visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Bei „Grundlage / Natur verstehen“ wird automatisch eine skizzenhafte Schwarz-Weiß-Prozessdarstellung gesetzt. Der bisherige Bildstil wird dann automatisch auf „Schwarz-Weiß-Skizze“ gesetzt und im Studio deaktiviert.'
TLabelframe  visible=False manager=pack  text=''
TFrame       visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Zugehörige Grundlage'
TCombobox    visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Optional: Diese News mit einer passenden Grundlage verknüpfen. Mehrere News dürfen dieselbe Grundlage vorbereiten.'
TLabelframe  visible=False manager=pack  text=''
TLabel       visible=False manager=pack  text='Beim Löschen eines Grundlagenbeitrags entfernt das Studio automatisch alle explainerId-Verknüpfungen in den betroffenen News.'
TFrame       visible=False manager=pack  text=''
TButton      visible=False manager=pack  text='Beitrag löschen'
